"Male","Age","Debt","Married","EducationLevel","Ethnicity","YearsEmployed","PriorDefault","Employed","CreditScore","DriversLicense","Citizen","ZipCode","Income","Approved"
1,22,11,2,4,4,2,0,0,0,1,2,100,1213,0
0,23,7,2,8,4,0,0,0,0,0,2,160,1,0
0,30,2,1,4,4,1,0,0,0,1,2,280,1,0
0,22,12,1,5,3,0,1,1,11,1,2,0,1,1
1,20,8,2,6,4,2,1,1,14,0,2,60,159,1
0,16,1,2,8,8,2,1,1,2,0,2,100,1,1
1,17,7,2,3,4,0,0,0,0,0,2,60,101,0
0,59,4,2,11,8,3,1,1,6,0,2,43,561,1
1,28,1,1,2,8,3,0,0,0,0,2,176,538,0
0,56,7,2,4,8,7,1,1,3,1,2,100,51,0
1,34,2,2,14,8,5,1,1,4,1,2,253,858,1
1,41,5,2,11,8,5,1,1,6,1,2,470,1,1
1,21,1,1,8,8,1,1,1,3,1,2,140,211,0
1,35,5,2,14,8,8,1,1,6,1,2,0,1001,1
1,59,3,2,8,4,2,0,0,0,1,2,320,1,0
1,48,6,2,4,4,0,0,0,0,0,2,0,2691,1
1,30,5,2,9,4,8,1,1,2,1,2,330,1,1
0,19,9,2,6,4,1,1,1,2,0,2,88,592,1
1,20,1,1,4,4,0,0,0,0,0,2,140,5,0
0,22,6,2,11,4,3,1,1,7,0,2,129,3258,1
0,28,1,2,6,4,0,0,0,0,0,2,260,1005,0
0,19,1,1,6,4,1,1,0,0,1,2,160,1,0
1,41,1,2,2,4,0,0,0,0,0,2,168,1,0
1,42,2,2,4,4,0,1,0,0,0,2,160,1,0
1,20,10,2,6,4,1,0,0,0,0,2,80,351,0
1,33,2,2,13,8,6,1,1,3,1,2,0,1,1
1,23,0,1,4,4,0,0,0,0,0,2,200,71,0
1,33,3,1,8,8,2,1,1,1,1,2,180,18028,1
0,31,12,2,8,4,2,1,1,1,0,2,220,20,1
1,23,3,2,8,4,1,1,1,11,1,2,60,2185,1
1,27,1,2,8,8,4,1,1,3,1,2,312,151,1
0,20,11,1,14,8,0,0,0,0,1,2,154,33,0
1,52,1,1,8,8,9,1,0,0,1,2,200,101,0
1,23,12,2,9,8,2,1,1,11,1,2,290,285,1
1,43,1,2,7,4,14,0,1,1,1,2,352,113,0
1,75,19,1,1,1,0,0,1,2,0,2,0,352,0
1,25,13,2,6,4,3,1,0,0,1,1,20,1,1
1,40,14,2,9,4,9,1,1,6,1,2,70,1,1
0,48,8,2,8,4,8,1,1,6,1,2,0,1261,1
0,47,3,2,14,4,14,1,1,2,1,2,519,1705,1
1,23,0,2,13,4,0,1,0,0,0,2,0,1,1
1,23,2,1,6,4,1,0,0,0,1,2,120,68,0
1,27,1,2,14,8,1,1,0,0,0,2,0,5299,1
1,63,1,2,8,4,1,1,1,3,1,2,180,1,0
1,24,0,1,8,4,0,0,1,2,0,2,128,7,0
0,21,10,2,11,4,1,1,1,2,1,2,49,1,1
0,25,2,1,8,4,0,0,0,0,0,2,132,1,0
1,16,0,2,8,4,0,0,0,0,0,2,0,1,1
0,30,2,1,10,8,2,0,0,0,0,2,256,18,0
0,53,15,2,8,4,6,1,1,14,0,2,0,2201,1
1,32,4,2,4,4,1,0,0,0,1,2,232,1,0
1,21,4,1,3,8,0,0,0,0,0,2,140,101,0
1,28,0,1,4,4,0,0,0,0,0,2,216,2101,0
1,19,2,1,8,4,2,0,0,0,1,2,112,7,0
1,28,3,1,11,8,5,0,1,2,1,2,369,2,0
1,28,2,2,9,4,2,1,1,11,1,2,434,36,1
1,40,7,2,6,5,4,1,1,1,0,2,0,501,1
0,37,3,2,3,8,0,0,0,0,0,2,260,247,0
1,43,5,1,9,4,3,1,0,0,1,2,52,1443,1
1,57,12,2,7,4,1,1,1,4,1,2,200,1,1
1,43,5,2,3,5,2,0,0,0,1,2,141,1,0
0,24,1,2,9,4,0,0,1,1,1,2,240,5,0
1,19,2,2,3,4,2,1,1,2,0,2,120,301,1
0,41,4,2,3,5,1,0,0,0,0,1,1160,1,0
0,25,1,2,11,8,2,1,0,0,0,2,280,825,1
1,42,10,2,14,8,8,1,1,8,0,2,0,1,1
0,20,0,2,11,4,0,0,0,0,1,2,380,1,0
1,22,12,2,3,4,1,1,0,0,1,2,100,69,0
1,31,3,2,1,1,0,0,1,5,0,2,176,147,0
1,27,2,2,13,8,2,1,1,12,1,2,583,714,1
1,49,26,1,1,1,0,1,0,0,1,2,0,1,0
0,30,1,2,9,8,0,0,1,3,0,2,0,34,0
1,29,1,2,9,4,2,0,0,0,0,2,200,1,0
