income,loan_purpose,coop_unit,trem_months,state_clean,first_hoam_loan,gender,age,num_units,credit_score,prop_typ,int_rate
355860,2,2,360,1,2,1,49,1,3,1,4.38
60518,2,2,360,1,2,1,59,1,4,1,4.75
191916,1,2,360,1,2,1,37,1,5,1,4.75
119053,1,2,360,1,2,1,23,1,4,1,4.25
219996,2,2,180,1,2,1,58,1,4,1,3.13
124500,1,2,360,1,1,2,25,1,5,1,4.25
136222,1,2,360,1,2,1,39,1,5,1,4.75
201804,2,2,180,1,2,1,43,1,5,7,3
147512,1,2,360,1,2,2,38,1,5,1,4.25
644280,2,2,360,1,2,1,69,1,3,1,4.75
69000,2,2,360,1,2,1,57,1,3,1,4.75
80196,2,2,360,1,2,1,59,1,4,6,4.75
237420,1,2,360,1,2,1,40,1,4,1,4.38
159489,1,2,360,1,2,2,40,1,4,1,4.75
69432,1,2,360,1,1,2,33,1,4,1,4
55608,2,2,180,1,2,2,59,1,4,1,3.75
125000,1,2,360,1,2,1,48,1,4,1,4.75
75800,1,2,360,1,2,2,52,1,4,1,4.38
49998,1,2,360,1,2,1,26,1,5,1,4.5
600000,2,2,360,1,2,1,69,1,5,1,4.75
98964,1,2,360,1,2,2,46,1,5,1,4.13
165868,2,2,360,1,2,2,39,1,5,1,4.25
64884,2,2,360,1,2,2,36,1,5,2,4
106080,1,2,180,1,2,1,36,1,5,1,3.13
61344,1,2,360,1,1,2,39,1,5,1,4.25
77808,2,2,360,1,2,1,49,1,5,1,4
199032,1,2,180,1,1,2,49,1,5,1,3.13
179218,2,2,180,1,2,1,53,1,4,7,3.13
109304,1,2,360,1,2,2,28,1,5,1,4
85335,1,2,360,1,1,3,28,1,5,2,4.13
112503,2,2,180,1,2,1,53,1,5,1,3.13
104867,1,2,360,1,1,1,30,1,5,7,4
111287,1,2,360,1,1,2,39,1,5,7,4.5
189124,1,2,360,1,2,1,55,1,5,1,4.25
262903,1,2,360,1,2,1,60,1,5,1,4
69605,2,2,180,1,2,1,46,1,5,1,3.63
241692,1,2,180,1,2,2,43,1,2,1,3.75
77480,2,2,360,1,2,2,54,1,4,1,4.13
241680,2,2,180,1,2,2,43,1,4,1,3.13
82742,1,2,360,1,1,1,29,1,5,1,4.13
87488,1,2,360,1,2,2,43,1,5,11,4.13
109273,2,2,180,1,2,3,47,1,3,1,3.25
178981,2,2,240,1,2,1,43,1,3,1,3.88
76968,1,2,360,1,1,2,31,1,5,1,4.25
164796,1,2,360,1,2,1,31,1,5,1,4.38
114802,1,2,360,1,1,2,35,1,5,1,4.38
171816,2,2,360,1,2,3,59,1,4,1,4
98672,1,2,360,1,2,2,57,1,5,1,4.13
110214,1,2,360,1,2,3,41,1,5,1,4.38
92662,1,2,360,1,1,1,26,1,4,1,4.13
125376,2,2,180,1,2,1,48,1,4,1,3.38
58000,2,2,180,1,2,2,47,1,5,1,3.38
122688,2,2,180,1,2,1,47,1,5,1,3.13
57516,2,2,120,1,2,1,74,1,5,1,3.25
102108,2,2,180,1,2,1,36,1,4,1,3.25
115000,1,2,360,1,2,1,33,1,5,1,4
130398,1,2,360,1,1,1,32,1,5,1,4.13
171751,1,2,180,1,2,1,70,1,5,1,3.38
150475,1,2,180,1,2,1,31,1,4,1,3.38
141440,2,2,120,1,2,3,61,1,5,1,3.25
56064,2,2,360,1,2,1,49,1,4,1,4.5
59800,1,2,360,1,2,2,69,1,4,6,4.13
34648,1,2,360,1,1,2,26,1,4,7,4.13
77904,2,2,240,1,2,2,46,1,4,1,4.13
63752,2,2,360,1,2,2,45,1,5,1,4.38
82464,1,2,360,1,2,2,40,1,5,1,4.25
53001,1,2,360,1,1,3,30,1,5,1,4.13
86445,1,2,360,1,2,2,36,1,5,2,4
213517,2,2,360,1,2,1,54,1,5,1,4
70792,1,2,360,1,2,2,63,1,5,1,4.5
72000,2,2,120,1,2,2,64,1,5,6,3.25
95885,2,2,120,1,2,2,67,1,5,1,3.25
81288,2,2,240,1,2,2,54,1,5,1,3.75
162888,1,2,360,2,2,1,35,1,5,1,4.13
87387,1,2,360,1,1,2,25,1,4,2,4.13
130356,2,2,360,1,2,1,41,1,4,1,4
177817,1,2,360,1,2,1,38,1,5,1,4.25
204720,2,2,180,1,2,1,56,1,5,1,3
134473,1,2,360,1,2,2,28,1,5,1,4.13
127824,1,2,180,1,2,2,55,1,5,1,3.13
96012,2,2,360,1,2,1,26,1,5,1,3.88
125724,2,2,240,1,2,2,41,1,5,1,3.75
110012,1,2,360,1,2,1,38,1,5,1,4.25
126084,1,2,360,1,2,1,45,1,4,1,4.75
90174,2,2,360,1,2,2,71,1,4,1,4.38
56028,1,2,360,1,2,1,32,1,4,1,4.13
50808,1,2,360,1,1,2,55,1,4,7,4.25
57149,2,2,360,1,2,2,50,1,4,2,4.75
101667,1,2,360,1,2,1,45,1,4,1,4.75
88956,1,2,360,1,2,1,27,1,4,1,4.75
49982,2,2,360,1,2,1,30,1,4,1,4.38
48368,2,2,180,1,2,2,38,1,5,1,3.38
42661,1,2,360,1,2,2,58,1,5,1,4.5
90113,2,2,360,1,2,2,49,1,5,2,4.13
58200,1,2,360,1,1,2,29,1,5,6,4.13
52524,2,2,360,1,2,2,35,1,5,1,4.25
56148,2,2,360,1,2,1,39,1,5,1,4.25
118683,1,2,360,1,2,1,32,1,5,1,4.25
122696,1,2,360,2,1,1,99,1,4,1,4.13
117192,2,2,300,1,2,1,52,1,5,1,4.38
45552,1,2,240,2,2,2,44,1,5,1,4
54132,2,2,360,1,2,1,54,1,5,7,4.38
177495,1,2,180,1,2,1,57,1,5,6,3.63
187488,1,2,180,2,2,1,51,1,5,1,3.38
98796,2,2,360,1,2,1,67,1,5,1,4.25
347988,1,2,180,2,2,1,55,1,5,1,3.13
139776,1,2,180,1,2,2,43,1,5,1,3.63
119934,2,2,240,1,2,1,58,1,5,7,3.88
110835,1,2,360,1,2,1,61,1,5,1,3.88
258084,1,2,360,1,2,1,59,1,5,1,4
117953,2,2,360,1,2,2,54,1,4,11,4.25
68464,1,2,360,1,2,2,36,1,5,1,4.75
58199,1,2,240,3,2,1,65,2,4,7,4.25
103464,1,2,360,3,2,3,55,1,4,1,4.25
84996,1,2,360,3,2,1,31,1,4,1,4.25
72540,1,2,360,3,2,1,45,1,5,2,4.5
74305,2,2,360,3,2,3,30,1,4,1,4.5
87672,1,2,360,3,2,1,43,1,5,1,4.25
224820,1,2,360,3,1,1,33,1,5,1,4.5
103019,1,2,360,3,1,1,30,1,4,1,4.13
78049,2,2,360,3,2,1,77,1,3,1,4.25
161543,1,2,360,3,2,1,40,1,3,1,4.25
117000,1,2,360,3,1,1,28,1,5,1,4.25
100629,2,2,180,3,2,1,43,1,4,1,3.25
